NAMESPACE           NAME                                        READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                           IMAGES                                                                                                                                                                                                                                                    SELECTOR
default             capability-mcp-factory-00002-deployment     0/0     0            0           40m     capability-mcp-factory,queue-proxy   healthidpuaeacr.azurecr.io/capability-mcp-factory@sha256:0cfb64f9d782e913020efe4c68eb16bbb960f77902f3d60054446f81fd8a562b,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346   serving.knative.dev/revisionUID=5191d06c-f468-424d-b37c-57590a7e97c8
default             capability-mcp-factory-00003-deployment     0/0     0            0           37m     capability-mcp-factory,queue-proxy   healthidpuaeacr.azurecr.io/capability-mcp-factory@sha256:0cfb64f9d782e913020efe4c68eb16bbb960f77902f3d60054446f81fd8a562b,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346   serving.knative.dev/revisionUID=d608495b-9d1c-4338-ab48-66ce51f77791
default             capability-mcp-factory-00004-deployment     0/0     0            0           4m21s   capability-mcp-factory,queue-proxy   healthidpuaeacr.azurecr.io/capability-mcp-factory@sha256:8803dcf74b5d842e69e789c98441279290cf503861b868887f762ac31b79adb2,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346   serving.knative.dev/revisionUID=55cf6293-c758-476b-b2cf-0d9ea5f3b6c5
default             capability-mcp-mfg-tc-00001-deployment      0/0     0            0           40m     capability-mcp-mfg-tc,queue-proxy    healthidpuaeacr.azurecr.io/capability-mcp-mfg-tc@sha256:dbfd4e59756e3e9dd386edadcc6e484a8b3032e7c0f9205bace8de54458a0f5d,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346    serving.knative.dev/revisionUID=de69178d-f029-4dba-9449-054b3867471d
default             capability-mcp-mfg-tc-00002-deployment      0/0     0            0           37m     capability-mcp-mfg-tc,queue-proxy    healthidpuaeacr.azurecr.io/capability-mcp-mfg-tc@sha256:dbfd4e59756e3e9dd386edadcc6e484a8b3032e7c0f9205bace8de54458a0f5d,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346    serving.knative.dev/revisionUID=51c32f06-2689-4783-9f41-8c40575df6d9
default             capability-web-mcp-00001-deployment         0/0     0            0           2d14h   capability-web-mcp,queue-proxy       healthidpuaeacr.azurecr.io/capability-web-mcp@sha256:00028c8c5e8fe6ca8ea8febee53cd9793803a3500b05a8970964d5bb827bca48,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346       serving.knative.dev/revisionUID=0120ef64-9bea-4d51-bf9d-90f73b460ec8
default             classify-router-00001-deployment            0/0     0            0           42h     classify-router,queue-proxy          healthidpuaeacr.azurecr.io/classify-router@sha256:a9d1f50d57bb7f9c9c7192a90fc20aa93d3e4020e1cdb3aaaf8f027a61347198,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346          serving.knative.dev/revisionUID=5f2577fb-2971-473e-8969-af487c9d2dfd
default             compose-canonical-00001-deployment          0/0     0            0           42h     compose-canonical,queue-proxy        healthidpuaeacr.azurecr.io/compose-canonical@sha256:035ca7edf9a842622d6f50ea349359e08ddbef66e22f3c80a42d9765ea91d65b,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346        serving.knative.dev/revisionUID=f1013024-40e3-43f4-b8b8-76b3f0d6fe1d
default             compose-canonical-00002-deployment          0/0     0            0           42h     compose-canonical,queue-proxy        healthidpuaeacr.azurecr.io/compose-canonical@sha256:b35821f65bc0952cde1c3786b71bd9957ad3afa9409697102ad3fb09453f9c38,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346        serving.knative.dev/revisionUID=e2ade9c3-e5f9-4e9b-98c1-b0d9f744e201
default             compose-canonical-00003-deployment          0/0     0            0           42h     compose-canonical,queue-proxy        healthidpuaeacr.azurecr.io/compose-canonical@sha256:7a072295b0abd7702ca0ba451a2a7f8740227cc209a63418ff920a1f87fbab5a,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346        serving.knative.dev/revisionUID=776f07e9-fc56-4ba1-984e-dd75eea6d364
default             govern-opa-00001-deployment                 0/0     0            0           42m     govern-opa,queue-proxy               healthidpuaeacr.azurecr.io/govern-opa@sha256:48d381fcedf76a3b7617c9f31a61a77f857977ee01f0b7c472bb43f629c20426,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346               serving.knative.dev/revisionUID=fdf9df97-fd76-40a4-9f47-8c43c72449ad
default             govern-opa-00002-deployment                 1/1     1            1           43h     govern-opa,queue-proxy               healthidpuaeacr.azurecr.io/govern-opa@sha256:48d381fcedf76a3b7617c9f31a61a77f857977ee01f0b7c472bb43f629c20426,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346               serving.knative.dev/revisionUID=0fb815c9-a7f1-46e1-ba4a-4a957a157cb3
default             lifecycle-orchestrator-00001-deployment     0/0     0            0           42h     lifecycle-orchestrator,queue-proxy   healthidpuaeacr.azurecr.io/lifecycle-orchestrator@sha256:333b8d1cbff55c91ab74d63ff8dc339c1376901d5d9ec9a4b4fe0927292c854a,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346   serving.knative.dev/revisionUID=df108ca6-752c-431b-bc1b-b7d9a5f9980b
default             lifecycle-orchestrator-00002-deployment     0/0     0            0           42h     lifecycle-orchestrator,queue-proxy   healthidpuaeacr.azurecr.io/lifecycle-orchestrator@sha256:7172d549b6f8447c3379d5ae1ef5dfa17a6313d1169df9b73fe7364fff11c4fd,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346   serving.knative.dev/revisionUID=3e043189-a180-459f-9dbf-7b6f70ea0105
default             observe-audit-sink-00001-deployment         1/1     1            1           42h     observe-audit-sink,queue-proxy       healthidpuaeacr.azurecr.io/observe-audit-sink@sha256:9ef654ca4a7bba8c8089c22e7af03718097dbc91f9a424966981a1711f7b11f0,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346       serving.knative.dev/revisionUID=fefc3da1-1ca2-4516-8b87-2cf718f91db8
default             slack-api-server-00009-deployment           0/0     0            0           3d14h   slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:830595790f255f266ba0a49ff0f5cb0a76f62738c815a059394594a912ecb3a8,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=6658a440-c9fa-445d-b2b4-55ffe54108f9
default             slack-api-server-00010-deployment           0/0     0            0           3d13h   slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:830595790f255f266ba0a49ff0f5cb0a76f62738c815a059394594a912ecb3a8,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=799140ea-2023-4c9c-91e4-bc51d003d30d
default             slack-api-server-00011-deployment           0/0     0            0           42h     slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:df8e17a0008cd995239e25ec8d996024a2413f6df69deb477dae3aca10c2f637,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=d1f0a41d-0b70-40fb-8379-569dab9dd787
